ID,Age at admission,Gender,Governorates,Country,Previous School,Scholarship,SAT,EEE,GPA,Performance,Attempted hours,Earned hours
201105098,18,F,Bekaa,Lebanon,"St.Antonios Sec.Sch,Rayak",Yes,1120.0,0.0,67.0,Fail,15,12
201105166,18,M,Beirut,Lebanon,"St.Francois Cappucins, Beirut",Yes,980.0,0.0,79.2,Pass,15,12
201105683,18,M,Mount Lebanon,Lebanon,"Lycee Franco Libanais, N.Ibr",Yes,1050.0,0.0,57.5,Fail,15,6
201105713,20,M,Beirut,Lebanon,"Amjad School, Choueifat",Yes,1230.0,0.0,63.6,Fail,15,12
201105407,18,F,Beirut,Lebanon,"Col.Prot.Francais, Beirut",Yes,950.0,0.0,78.0,Pass,15,12
200903327,22,M,Mount Lebanon,Lebanon,Saint George School - Hadath,No,880.0,0.0,61.75,Fail,15,15
200803125,20,M,Beirut,Lebanon,"Instit. et Ecole St. Elie,Beir",Yes,930.0,427.0,62.33,Fail,0,0
201004449,18,F,Mount Lebanon,Lebanon,The Int'l Sc.of Choueifat/Shar,Yes,1090.0,0.0,82.2,Pass,15,15
201000478,18,M,Beirut,Lebanon,"College Louise Wegmann, Beirut",Yes,1120.0,433.0,66.0,Fail,15,12
201000513,18,M,Mount Lebanon,Lebanon,"Christian Teach.Institute,Hors",Yes,1200.0,0.0,79.0,Pass,15,12
201000308,19,M,Beirut,Lebanon,"College Louise Wegmann, Beirut",Yes,1140.0,0.0,84.0,Pass,15,15
201000413,18,M,Beirut,Lebanon,American Comm. Sc /Beirut,Yes,1140.0,0.0,66.2,Fail,15,15
201000408,18,M,Beirut,Lebanon,American Comm. Sc /Beirut,Yes,1290.0,0.0,48.5,Fail,6,0
201001414,18,M,Beirut,Lebanon,College Notre Dame de Jamhour,Yes,1320.0,0.0,71.25,Pass,15,15
201001493,19,M,Mount Lebanon,Lebanon,College Notre Dame de Jamhour,Yes,1280.0,0.0,73.8,Pass,15,15
201000934,19,F,Mount Lebanon,Lebanon,"Int'l College, Ras Beirut",Yes,1210.0,0.0,85.4,Pass,15,15
201001660,19,F,Beirut,Lebanon,"Eastwood Col,Mansourieh",Yes,1120.0,0.0,74.8,Pass,14,14
201001022,18,F,Beirut,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,910.0,0.0,80.8,Pass,15,15
201003635,19,F,Mount Lebanon,Lebanon,The Int'l School of Choueifat ,Yes,1010.0,0.0,79.2,Pass,15,15
201003340,19,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1110.0,0.0,83.0,Pass,15,12
201003283,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1010.0,0.0,65.25,Fail,15,15
201003170,18,F,Beirut,Lebanon,"Int'l College, Ras Beirut",Yes,1150.0,0.0,73.4,Pass,15,15
201003707,18,M,Beirut,Lebanon,"City Intl Sc,Beirut",Yes,1170.0,0.0,74.75,Pass,15,12
201004352,19,F,Beirut,Lebanon,"Carmel St.Joseph, Meshref",Yes,1120.0,0.0,86.8,Pass,15,15
201004373,18,F,South Lebanon,Lebanon,"Rafic Hariri High School,Sidon",Yes,960.0,523.0,78.5,Pass,6,6
201002091,18,M,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1050.0,0.0,67.5,Fail,15,12
201001578,18,F,Beirut,Lebanon,"Lycee Franco Libanais,Verdun",Yes,1050.0,0.0,73.8,Pass,15,15
201001571,19,F,Beirut,Lebanon,"Lycee Franco Libanais,Verdun",Yes,1060.0,0.0,81.8,Pass,15,15
201001547,19,M,Beirut,Lebanon,"Bourj Int'l College, B.Barajne",Yes,1020.0,0.0,71.25,Pass,15,15
201002223,18,M,Mount Lebanon,Lebanon,"Le Lycee National, Bakaata",Yes,1120.0,0.0,74.5,Pass,15,15
201001045,18,F,Beirut,Lebanon,"St.Francois Cappucins, Beirut",Yes,1070.0,0.0,85.8,Pass,12,12
201001121,18,M,Beirut,Lebanon,"Lycee Georges Pompidou,Dubai",Yes,1160.0,0.0,64.8,Fail,15,15
201001065,18,F,Beirut,Lebanon,Ecole Francaise Intl /Riyad,Yes,1050.0,0.0,67.6,Fail,15,15
201001906,19,F,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1000.0,393.0,83.4,Pass,15,15
201002478,18,M,Beirut,Lebanon,"GrandLyceeFrancolibanais,bey",Yes,1220.0,0.0,84.5,Pass,3,3
201001089,19,F,Mount Lebanon,Lebanon,"Lycee Georges Pompidou,Dubai",Yes,1120.0,0.0,55.2,Fail,15,15
201001067,19,F,Beirut,Lebanon,"British Int'l Sc.Jeddah, KSA",Yes,1100.0,0.0,74.0,Pass,15,12
201000291,18,F,Beirut,Lebanon,"Carmel St.Joseph, Meshref",Yes,1010.0,0.0,81.6,Pass,15,15
201000960,18,M,Mount Lebanon,Lebanon,Al Manar Modern School,Yes,1110.0,0.0,73.4,Pass,15,12
201001103,18,M,Beirut,Lebanon,"Hariri High School II, Beirut",Yes,1120.0,0.0,71.6,Pass,15,15
201001024,18,M,Mount Lebanon,Lebanon,College Notre Dame Des Apotres,Yes,1030.0,0.0,75.2,Pass,15,12
201002224,18,F,Beirut,Lebanon,College Notre Dame de Jamhour,Yes,1070.0,0.0,90.6,Pass,3,3
201005280,18,F,Mount Lebanon,Lebanon,St.Joseph Sch.Cornet Shahwan,Yes,1300.0,0.0,71.6,Pass,15,15
201002079,19,F,Beirut,Lebanon,"Amjad School, Choueifat",Yes,1090.0,434.0,66.8,Fail,15,15
201003734,19,F,Mount Lebanon,Lebanon,St.Joseph Sch.Cornet Shahwan,Yes,1490.0,0.0,85.25,Pass,12,12
201004776,19,F,Mount Lebanon,Lebanon,"Sagesse St.Jean Brazila,Baabda",Yes,1080.0,0.0,74.0,Pass,15,12
201005237,19,F,North Lebanon,Lebanon,Lycee F. L. A. De Lamartine,Yes,1300.0,0.0,80.8,Pass,6,6
201104788,20,F,Mount Lebanon,Lebanon,"My New College, Amrousieh",Yes,920.0,0.0,74.25,Pass,15,9
201000408,20,M,Beirut,Lebanon,American Comm. Sc /Beirut,Yes,1290.0,0.0,48.5,Fail,6,0
201002008,20,M,Beirut,Lebanon,"Al Ahlieh School, Tartous",Yes,970.0,0.0,62.0,Fail,15,12
201100423,20,F,Beirut,Lebanon,Damascus Comm.Sch.,Yes,1100.0,0.0,76.6,Pass,15,15
201105412,19,M,Mount Lebanon,Lebanon,"College St. Joseph,Antoura",Yes,1190.0,0.0,69.75,Fail,15,9
201100775,19,M,Beirut,Lebanon,"Amjad School, Choueifat",No,990.0,0.0,56.25,Fail,6,6
201103928,20,M,South Lebanon,Lebanon,"Carmel St.Joseph, Meshref",Yes,1110.0,0.0,68.2,Fail,15,6
201103403,19,M,Beirut,Lebanon,"Rawdah H.Sch., Beirut",Yes,1110.0,0.0,67.5,Fail,15,3
201102336,20,M,Mount Lebanon,Lebanon,College M.&H.Arslanian/Antelia,No,1410.0,0.0,63.75,Fail,15,9
201102735,19,M,Beirut,Lebanon,German School - Beirut,Yes,1120.0,0.0,69.5,Fail,12,9
201203547,19,F,Mount Lebanon,Lebanon,"Lycee Franco Libanais, N.Ibr",Yes,1120.0,0.0,65.25,Fail,15,6
201105723,19,F,Mount Lebanon,Lebanon,"College St. Joseph,Antoura",Yes,1050.0,0.0,66.33,Fail,15,9
201103580,19,M,Beirut,Lebanon,"Lycee Abdul-Kader, Beirut",Yes,1280.0,0.0,70.8,Pass,15,12
201104713,20,F,Mount Lebanon,Lebanon,Col. Des Soeurs De St. Therese,Yes,890.0,0.0,65.8,Fail,15,9
201104964,19,M,Beirut,Lebanon,Maanieh School,Yes,1020.0,0.0,51.0,Fail,15,3
201104831,19,M,Mount Lebanon,Lebanon,"Bilal Fahes Hi Sch.,Nabatieh",Yes,1140.0,0.0,78.0,Pass,15,12
201105098,19,F,Bekaa,Lebanon,"St.Antonios Sec.Sch,Rayak",Yes,1120.0,0.0,67.0,Fail,15,12
